,Date,unemployment_rate,inflation_rate,treasury_yield,Monthly Real GDP Index,GDP_growth,SP500_return
0,2000-01-01,4.0,169.3,,12870.47162,-1.066966885057985,
1,2000-02-01,4.1,170.0,6.661,12934.38121,0.4965598144879735,-1.522562650816195
2,2000-03-01,4.0,171.0,6.519499999999999,13000.50928,0.511258087467481,9.413332696160136
3,2000-04-01,3.8,170.9,6.256521739130435,13173.13041,1.3278028289673172,-3.2668053177544287
4,2000-05-01,4.0,171.2,5.990526315789474,13149.18201,-0.18179733483713045,-1.572223131413364
5,2000-06-01,4.0,172.2,6.440454545454545,13189.36127,0.30556471094127513,1.728613048756511
6,2000-07-01,4.0,172.7,6.097272727272728,13103.12198,-0.6538549383445558,-1.3384531098502128
7,2000-08-01,4.1,172.7,6.054,13207.38479,0.7957096801750163,6.534123624212684
8,2000-09-01,3.9,173.6,5.826086956521739,13240.35961,0.24966956384102623,-5.723123223668846
9,2000-10-01,3.9,173.9,5.799,13265.14799,0.1872183288834428,-0.21775757872163348
10,2000-11-01,3.9,174.2,5.738571428571428,13266.46375,0.009918924394902717,-7.4652690289496615
11,2000-12-01,3.9,174.6,5.717142857142857,13254.90556,-0.08712336774749918,-0.8268520707651494
12,2001-01-01,4.2,175.6,5.2405,13246.10119,-0.06642348344275684,4.766323976082076
13,2001-02-01,4.2,176.0,5.160952380952381,13220.26863,-0.19502010160922234,-9.53874612092297
14,2001-03-01,4.3,176.1,5.098947368421053,13191.54698,-0.21725466254766124,-5.857225230739371
15,2001-04-01,4.4,176.4,4.885454545454546,13291.40551,0.7569887758531957,8.83624997881558
16,2001-05-01,4.3,177.3,5.141,13352.68444,0.461041760812253,-0.5605774712874823
17,2001-06-01,4.5,177.7,5.391363636363637,13260.35831,-0.6914424617376902,-2.659795953707944
18,2001-07-01,4.6,177.4,5.284285714285714,13219.12559,-0.3109472537322411,-0.7380386929838112
19,2001-08-01,4.9,177.4,5.236190476190477,13371.47661,1.1525045205353912,-5.933234853627223
20,2001-09-01,5.0,178.1,4.971304347826087,13154.00008,-1.626421197471628,-8.506341627964941
21,2001-10-01,5.3,177.6,4.731764705882353,13264.20052,0.8377713192168512,1.6822646034846178
22,2001-11-01,5.5,177.5,4.566818181818181,13195.55455,-0.5175281382130303,7.797687521971497
23,2001-12-01,5.7,177.4,4.6515,13395.38971,1.514412745919791,0.2192280512242739
24,2002-01-01,5.7,177.7,5.0875,13430.53532,0.262370940755563,-0.6392737000674553
25,2002-02-01,5.7,178.0,5.035714285714286,13344.50167,-0.6405824336121912,-1.7936031198958258
26,2002-03-01,5.7,178.5,4.911578947368421,13410.27107,0.4928576699709808,3.0319489599066607
27,2002-04-01,5.9,179.3,5.284000000000001,13462.21538,0.387347203713162,-5.545787734983165
28,2002-05-01,5.8,179.5,5.210909090909091,13459.199,-0.022406267578223282,-0.5933528686093981
29,2002-06-01,5.8,179.6,5.164545454545455,13511.22398,0.38653845596605674,-7.703823398135057
30,2002-07-01,5.8,180.0,4.9265,13582.04911,0.524194773951181,-7.559530487099786
31,2002-08-01,5.7,180.5,4.653181818181818,13503.75515,-0.5764517516164358,0.6800988682527542
32,2002-09-01,5.7,180.8,4.257272727272727,13509.77008,0.04454264708730893,-10.88473198507659
33,2002-10-01,5.7,181.2,3.87,13496.35891,-0.0992701572312682,8.713590971994822
34,2002-11-01,5.9,181.5,3.940909090909091,13534.08664,0.2795400615201782,6.168134352513466
35,2002-12-01,6.0,181.8,4.048421052631579,13617.9587,0.6197097907746141,-6.118356819299908
36,2003-01-01,5.8,182.6,4.032380952380952,13593.53742,-0.1793314294601167,-1.9801667098442999
37,2003-02-01,5.9,183.6,4.048571428571428,13662.46014,0.5070256392467387,-1.3478811411646752
38,2003-03-01,5.9,183.9,3.9026315789473687,13602.71491,-0.4372948165102475,-0.18847738592437935
39,2003-04-01,6.0,183.2,3.8071428571428574,13674.03797,0.5243295950249305,8.898511141237297
40,2003-05-01,6.1,182.9,3.958571428571428,13689.63344,0.1140516797906832,5.4836485854143024
41,2003-06-01,6.3,183.1,3.5690476190476192,13860.46481,1.2478885628949277,0.7013663803277392
42,2003-07-01,6.2,183.7,3.334285714285714,13894.59198,0.24621952054146856,2.1704843032501753
43,2003-08-01,6.1,184.5,3.975454545454546,13968.4161,0.5313154938717535,2.062543442923137
44,2003-09-01,6.1,185.1,4.4452380952380945,14048.34178,0.5721885676071681,-1.4688052767680482
45,2003-10-01,6.0,184.9,4.274285714285715,14064.97083,0.11837019813736305,5.757063710674704
46,2003-11-01,5.8,185.0,4.290454545454545,14146.15585,0.5772142792279,1.09211915186056
47,2003-12-01,5.7,185.5,4.300000000000001,14183.8013,0.26611787964996303,4.537376430078854
48,2004-01-01,5.7,186.3,4.267727272727273,14099.5868,-0.5937371669187175,2.4588679103592304
49,2004-02-01,5.6,186.7,4.1505,14225.20926,0.8909655423377405,1.3570481974623405
50,2004-03-01,5.8,187.1,4.084210526315789,14312.95077,0.6168029474738379,-1.669285914230545
51,2004-04-01,5.6,187.4,3.826521739130435,14267.49899,-0.3175570204242306,-1.5481673973906762
52,2004-05-01,5.6,188.2,4.347619047619047,14399.09747,0.9223654411486981,1.7122905316491188
53,2004-06-01,5.6,188.9,4.7155000000000005,14303.26021,-0.6655782433563906,1.4797004817000303
54,2004-07-01,5.5,189.1,4.733809523809524,14427.47751,0.8684544514764081,-2.86857468074474
55,2004-08-01,5.4,189.2,4.498095238095239,14464.77569,0.2585218377512355,0.24360929341515902
56,2004-09-01,5.4,189.8,4.281363636363636,14482.06032,0.1194946286788845,0.5850284236719849
57,2004-10-01,5.5,190.8,4.1257142857142854,14581.76927,0.688499756228067,1.710073242670651
58,2004-11-01,5.4,191.7,4.0969999999999995,14590.4032,0.05921044175183354,4.143058296159086
59,2004-12-01,5.4,191.7,4.194,14645.42492,0.37710897530234266,2.831647197360554
60,2005-01-01,5.3,191.6,4.2309090909090905,14775.71224,0.8896110608718422,-1.7802690849951897
61,2005-02-01,5.4,192.4,4.221500000000001,14750.9682,-0.16746427920418805,2.0903808004149926
62,2005-03-01,5.2,193.1,4.165263157894737,14777.70587,0.18126044092481308,-2.2133850119109844
